TR88,Shmuddel,{}
TR88,TR120,{}
MN60,Topless,{}
MN60,SN100,{}
MN60,Trigger,{}
Vau,Haecksel,{}
Vau,Trigger,{}
SN100,Kringel,{}
SN100,SN89,{}
SN100,SN9,{}
SN100,Beescratch,{}
SN100,SN4,{}
SN100,Zap,{}
Thumper,Bumper,{}
Thumper,Kringel,{}
Thumper,Shmuddel,{}
Thumper,SN63,{}
Quasi,Jet,{}
TR77,Kringel,{}
TR77,SN96,{}
TR77,Oscar,{}
TR77,PL,{}
TR77,Fish,{}
TR77,Beak,{}
Jet,DN21,{}
Jet,Feather,{}
Jet,Gallatin,{}
Jet,Beescratch,{}
Jet,Mus,{}
Jet,Web,{}
Jet,MN23,{}
Jet,Number1,{}
SN90,Upbang,{}
SN90,Web,{}
SN90,Gallatin,{}
SN90,Feather,{}
SN90,Beescratch,{}
Whitetip,SN63,{}
MN83,Patchback,{}
MN83,Haecksel,{}
MN83,Grin,{}
MN83,Topless,{}
MN83,Jonah,{}
MN83,Trigger,{}
Patchback,TSN103,{}
Patchback,MN105,{}
Patchback,SMN5,{}
Patchback,Topless,{}
Patchback,Fish,{}
Patchback,Stripes,{}
Patchback,Jonah,{}
Patchback,Trigger,{}
TR99,Kringel,{}
TR99,Hook,{}
TR99,SN96,{}
TR99,Grin,{}
TR99,Topless,{}
TR99,Scabs,{}
TR99,Trigger,{}
Feather,DN21,{}
Feather,Ripplefluke,{}
Feather,Gallatin,{}
Feather,DN16,{}
Feather,Web,{}
Grin,Scabs,{}
Grin,Shmuddel,{}
Grin,CCL,{}
Grin,SN4,{}
Grin,Hook,{}
Grin,SN9,{}
Grin,SN63,{}
Grin,TSN103,{}
Grin,Stripes,{}
Grin,Beak,{}
Oscar,Kringel,{}
Oscar,PL,{}
Oscar,Beescratch,{}
Oscar,Double,{}
Beescratch,Upbang,{}
Beescratch,Notch,{}
Beescratch,Number1,{}
Beescratch,Knit,{}
CCL,Zap,{}
CCL,Double,{}
Web,Upbang,{}
Web,DN21,{}
Web,SN89,{}
Web,Gallatin,{}
Web,DN16,{}
Web,TR82,{}
DN21,Upbang,{}
DN21,Gallatin,{}
DN21,Wave,{}
Zig,Ripplefluke,{}
Cross,Trigger,{}
TR120,Stripes,{}
Fish,Bumper,{}
Fish,SN96,{}
Fish,Beak,{}
SN4,Stripes,{}
SN4,Scabs,{}
SN4,Shmuddel,{}
SN4,MN105,{}
SN4,Topless,{}
SN4,Double,{}
SN4,Zipfel,{}
SN4,Hook,{}
SN4,SN9,{}
Kringel,Hook,{}
Kringel,SN63,{}
Kringel,Double,{}
Kringel,Jonah,{}
Ripplefluke,Gallatin,{}
SN96,Bumper,{}
SN96,Beak,{}
SN96,PL,{}
MN105,Scabs,{}
MN105,Topless,{}
MN105,Jonah,{}
MN105,Trigger,{}
Stripes,SN63,{}
Stripes,Scabs,{}
Stripes,TSN83,{}
Fork,Scabs,{}
PL,Knit,{}
PL,DN63,{}
TSN83,Zipfel,{}
Trigger,Five,{}
Trigger,Topless,{}
Trigger,Jonah,{}
Hook,Scabs,{}
Hook,SN63,{}
Zap,Topless,{}
Zap,Double,{}
Zap,Haecksel,{}
Gallatin,Upbang,{}
Gallatin,DN16,{}
SN63,TSN103,{}
SN63,Scabs,{}
Mus,Notch,{}
Mus,Number1,{}
DN16,Wave,{}
DN63,Knit,{}
DN63,Upbang,{}
DN63,Number1,{}
DN63,SN9,{}
Haecksel,SN9,{}
Haecksel,Topless,{}
Haecksel,Beak,{}
Haecksel,Jonah,{}
Number1,Notch,{}
Scabs,Shmuddel,{}
Scabs,SN9,{}
Double,Topless,{}
Bumper,Zipfel,{}
Jonah,Topless,{}
Upbang,Knit,{}
Beak,SN9,{}
TSN103,SN9,{}
